city,country,lat,lng,max_temp,humidity,cloudiness,wind_speed,date
Coyhaique,CL,-45.5752,-72.0662,48.2,87,75,3.44,1619655893
Bose,IT,45.4612,8.0137,54.0,90,100,2.01,1619655894
Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,5.75,1619655894
Algiers,DZ,36.7525,3.042,62.6,77,75,3.44,1619655610
Yellowknife,CA,62.456,-114.3525,25.0,54,20,16.11,1619655894
Chunskiy,RU,56.0815,99.6342,31.96,94,100,11.43,1619655895
Patin-ay,PH,8.5506,125.9372,80.2,79,39,0.63,1619655895
Cayenne,GF,4.9333,-52.3333,77.0,94,75,6.91,1619655896
Dikson,RU,73.5069,80.5464,15.04,96,99,7.11,1619655896
Barrow,US,71.2906,-156.7887,19.4,86,90,8.05,1619655896
Olmos,PE,-5.9847,-79.7453,75.94,61,94,6.93,1619655896
Kavieng,PG,-2.5744,150.7967,83.48,72,96,7.36,1619655897
Xiongyue,CN,40.1774,122.1228,55.54,55,91,11.92,1619655897
Bathsheba,BB,13.2167,-59.5167,78.8,65,75,20.71,1619655897
Caravelas,BR,-17.7125,-39.2481,75.07,78,38,5.7,1619655898
Peniche,PT,39.3558,-9.3811,57.0,73,61,7.0,1619655898
North Bend,US,43.4065,-124.2243,61.0,72,1,10.36,1619655898
Kruisfontein,ZA,-34.0033,24.7314,63.0,82,95,1.99,1619655655
Katsuura,JP,35.1333,140.3,68.0,77,75,13.8,1619655899
Kamina,CD,-8.7386,24.9906,64.63,94,88,2.26,1619655899
Dumai,ID,1.6833,101.45,75.06,96,100,2.13,1619655899
Parrita,CR,9.5201,-84.3225,73.4,73,75,9.22,1619655654
Vao,NC,-22.6667,167.4833,73.62,58,57,15.95,1619655900
Yar-Sale,RU,66.8333,70.8333,5.5,98,56,4.25,1619655900
Bétaré Oya,CM,5.6,14.0833,67.77,93,99,5.3,1619655901
Port-Cartier,CA,50.0334,-66.8654,46.99,61,75,4.61,1619655901
Kenai,US,60.5544,-151.2583,55.4,38,1,9.22,1619655902
Kavaratti,IN,10.5669,72.642,83.55,71,0,3.74,1619655904
